actor_id,actor_name,category,title_id,title,year,release_date,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0001570,Edward Norton,actor,tt0120586,American History X,1998,1998-11-20,movie,20000000,USD,23875127,17155263,6719864,USD,0,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1999
nm0001570,Edward Norton,actor,tt0117318,The People vs. Larry Flynt,1996,1997-01-10,movie,36000000,USD,20300385,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0116242,Everyone Says I Love You,1996,1997-01-17,movie,20000000,USD,9759200,NA,NA,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0117381,Primal Fear,1996,1996-04-03,movie,30000000,USD,102616183,46500000,56116183,USD,0,Oscar,Best Actor in a Supporting Role,"Academy Awards, USA",Nominated,1997
nm0636201,Edward Norton,actor,tt0012695,The Single Track,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt10168312,What If...?,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt9140554,Loki,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt8936646,Extraction,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt6521876,Jay and Silent Bob Reboot,2019,2019-10-15,movie,10000000,USD,4691248,101758,4589490,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt2283336,Men in Black: International,2019,2019-06-14,movie,110000000,USD,253890701,173888894,80001807,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt4154796,Avengers: Endgame,2019,2019-04-26,movie,356000000,USD,2797501328,1939128328,858373000,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt6628394,Bad Times at the El Royale,2018,2018-10-12,movie,32000000,USD,31882724,14043609,17839115,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt4154756,Avengers: Infinity War,2018,2018-04-27,movie,321000000,USD,2048359754,1369544272,678815482,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1413492,12 Strong,2018,2018-01-19,movie,35000000,USD,67450815,21631102,45819713,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt3501632,Thor: Ragnarok,2017,2017-11-03,movie,180000000,USD,853983911,538925622,315058289,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1211837,Doctor Strange,2016,2016-11-04,movie,165000000,USD,677796076,445154156,232641920,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1289401,Ghostbusters,2016,2016-07-15,movie,144000000,USD,229147509,100796935,128350574,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt2381991,The Huntsman: Winter's War,2016,2016-04-22,movie,115000000,USD,164989338,116599148,48390190,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1390411,In the Heart of the Sea,2015,2015-12-11,movie,100000000,USD,93920758,68900000,25020758,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1524930,Vacation,2015,2015-07-29,movie,31000000,USD,107228221,48344033,58884188,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt2395427,Avengers: Age of Ultron,2015,2015-05-01,movie,250000000,USD,1402809540,943803672,459005868,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt2717822,Blackhat,2015,2015-01-16,movie,70000000,USD,19652057,11646077,8005980,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1981115,Thor: The Dark World,2013,2013-11-08,movie,170000000,USD,644783140,438421000,206362140,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1979320,Rush,2013,2013-09-27,movie,38000000,USD,96983009,70035385,26947624,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1234719,Red Dawn,2012,2012-11-21,movie,65000000,USD,50950296,6143513,44806783,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1735898,Snow White and the Huntsman,2012,2012-06-01,movie,170000000,USD,396592829,241260448,155332381,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0848228,The Avengers,2012,2012-05-04,movie,220000000,USD,1518815515,895457605,623357910,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1259521,The Cabin in the Woods,2011,2012-04-13,movie,30000000,USD,70055998,27982721,42073277,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0800369,Thor,2011,2011-05-06,movie,150000000,USD,449326618,268295994,181030624,USD,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1106860,Ca$h,2010,2010-03-26,movie,7000000,USD,46488,NA,NA,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0971209,A Perfect Getaway,2009,2009-08-07,movie,14000000,USD,22955544,7440084,15515460,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0796366,Star Trek,2009,2009-05-08,movie,150000000,USD,385680446,127950427,257730019,USD,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0094481,Home and Away,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0380893,Fergus McPhail,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0278876,The Saddle Club,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0088580,Neighbours,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0316985,Guinevere Jones,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt11286314,Don't Look Up,2021,2021-12-24,movie,NA,NA,791863,791863,0,USD,0,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt6264654,Free Guy,2021,2021-08-13,movie,120000000,USD,331526598,209900000,121626598,USD,0,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt8946378,Knives Out,2019,2019-11-27,movie,40000000,USD,311605581,146242347,165363234,USD,0,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt4995776,The Red Sea Diving Resort,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt4154796,Avengers: Endgame,2019,2019-04-26,movie,356000000,USD,2797501328,1939128328,858373000,USD,1,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt4154664,Captain Marvel,2019,2019-03-08,movie,160000000,USD,1128462972,701633133,426829839,USD,1,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt4154756,Avengers: Infinity War,2018,2018-04-27,movie,321000000,USD,2048359754,1369544272,678815482,USD,1,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt2250912,Spider-Man: Homecoming,2017,2017-07-07,movie,175000000,USD,880166924,545965784,334201140,USD,1,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt4481414,Gifted,2017,2017-04-12,movie,7000000,USD,43069254,18268042,24801212,USD,0,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt3498820,Captain America: Civil War,2016,2016-05-06,movie,250000000,USD,1153337496,745253147,408084349,USD,1,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt0478970,Ant-Man,2015,2015-07-17,movie,130000000,USD,519311965,339109802,180202163,USD,1,NA,NA,NA,NA,NA
