title_id,title,release_date
tt0346156,Sky Captain and the World of Tomorrow,2004-09-17
tt0325055,Sylvia,2003-10-31
tt0264150,View from the Top,2003-03-21
tt0256276,Possession,2002-08-30
tt0295178,Austin Powers in Goldmember,2002-07-26
tt0256380,Shallow Hal,2001-11-09
tt0265666,The Royal Tenenbaums,2002-01-04
tt0254099,The Anniversary Party,2001-06-29
tt0186894,Bounce,2000-11-17
tt0134630,Duets,2000-09-15
tt0134119,The Talented Mr. Ripley,1999-12-25
tt0120655,Dogma,1999-11-12
tt0138097,Shakespeare in Love,1999-01-08
tt0118744,Hush,1998-03-06
tt0120787,A Perfect Murder,1998-06-05
tt0119223,Great Expectations,1998-01-30
tt0120148,Sliding Doors,1998-05-01
tt0116191,Emma,1996-08-30
tt0117283,The Pallbearer,1996-05-03
tt0119256,Hard Eight,1997-02-28
tt0113851,Moonlight and Valentino,1995-09-29
tt0114369,Se7en,1995-09-22
tt0113463,Jefferson in Paris,1995-03-31
tt0113305,Higher Learning,1995-01-11
tt0110588,Mrs. Parker and the Vicious Circle,1994-11-23
tt0106926,Flesh and Bone,1993-11-05
tt0107497,Malice,1993-10-01
tt0102057,Hook,1991-12-11
tt0102913,Shout,1991-10-04
tt8545482,Zone 414,2021-09-03
tt11263022,The Seventh Day,2021-03-26
tt1634106,Bloodshot,2020-03-13
tt5717194,Disturbing the Peace,2020-01-17
tt8337320,The Last Vermeer,2020-11-20
tt3282076,Domino,2019-05-31
tt5616294,Spinning Man,2018-04-06
tt5473090,Swinging Safari,2019-06-21
tt2316204,Alien: Covenant,2017-05-19
tt1895315,Brimstone,2017-01-07
tt1703957,Genius,2016-06-10
tt3289728,Equals,2016-05-26
tt3671542,Holding the Man,2016-06-10
tt3824412,Results,2015-05-29
tt2345737,The Rover,2014-06-20
tt2463512,Hateship Loveship,2014-04-11
tt1999987,Breathe In,2013-01-19
tt1212450,Lawless,2012-08-29
tt1446714,Prometheus,2012-06-08
tt1592525,Lockout,2012-04-13
tt1214962,Seeking Justice,2012-03-16
tt1704161,33 Postcards,2013-04-15
tt1270761,Don't Be Afraid of the Dark,2011-08-26
tt1504320,The King's Speech,2010-12-25
tt1313092,Animal Kingdom,2010-01-22
tt0898367,The Road,2009-11-25
tt0960731,Bedtime Stories,2008-12-25
tt0887912,The Hurt Locker,2009-07-31
tt0988047,Traitor,2008-08-27
tt0948547,Winged Creatures,2008-06-24
tt0472071,Death Defying Acts,2008-07-11
tt0432402,Factory Girl,2007-02-16
tt0432289,First Snow,2007-03-23
tt0421238,The Proposition,2006-06-09
tt0338512,Two Brothers,2004-06-25
tt0240980,Till Human Voices Wake Us,2003-02-21
tt0280490,The Hard Word,2003-06-27
tt0268695,The Time Machine,2002-03-08
tt0245844,The Count of Monte Cristo,2002-01-25
tt0209144,Memento,2001-05-25
tt0160797,Rules of Engagement,2000-04-07
tt0162662,A Slipping-Down Life,1999-01-22
tt0129332,Ravenous,1999-03-19
tt0119488,L.A. Confidential,1997-09-19
tt0109045,"The Adventures of Priscilla, Queen of the Desert",1994-08-10
tt6442686,WarHunt,2022-01-21
tt12689248,The Commando,2022-01-07
tt6060964,Man of God,2022-03-21
tt9392374,Girl,2020-11-20
tt4205896,Night Walk,2021-06-15
tt2275743,"Berlin, I Love You",2019-02-08
tt7349910,Nightmare Cinema,2018-11-29
tt4776564,WEAPONiZED,2016-03-01
tt3520290,Blunt Force Trauma,2015-07-20
tt3779300,War Pigs,2015-09-18
tt3774466,Ashby,2015-09-25
tt0458481,Sin City: A Dame to Kill For,2014-08-22
tt2083231,Java Heat,2013-04
tt2147225,Black November,2015-01-09
tt0995845,The Courier,2013-06-08
tt1253864,Immortals,2011-11-11
tt1396221,Passion Play,2011-05-06
tt1320253,The Expendables,2010-08-13
tt0798817,13,2010-03-13
tt0443559,Killshot,2009-01-23
tt0865554,The Informers,2009-04-24
tt1125849,The Wrestler,2009-01-30
tt0457495,Stormbreaker,2006-10-13
tt0421054,Domino,2005-10-14
tt0401792,Sin City,2005-04-01
tt0328107,Man on Fire,2004-04-23
tt0285823,Once Upon a Time in Mexico,2003-09-12
tt0319829,Masked and Anonymous,2003-01-22
tt0283003,Spun,2002-06
tt0263215,Picture Claire,2003-08-14
tt0237572,The Pledge,2001-01-19
tt0208988,Get Carter,2000-10-06
tt0204137,Animal Factory,2000-01-24
tt0124901,Thursday,1998-11-13
tt0118789,Buffalo '66,1998-06-26
tt0119978,The Rainmaker,1997-11-21
tt0119013,Double Team,1997-04-04
tt0105813,White Sands,1992-04-24
tt0102005,Harley Davidson and the Marlboro Man,1991-08-23
tt0099409,Desperate Hours,1990-10-05
tt0100934,Wild Orchid,1990-04-27
tt0097626,Johnny Handsome,1989-09-29
tt0092618,Barfly,1987-10-16
tt0093771,A Prayer for the Dying,1987-09-11
tt0092563,Angel Heart,1987-03-06
tt0091635,9½ Weeks,1986-02-21
tt0090350,Year of the Dragon,1985-08-16
tt0087932,The Pope of Greenwich Village,1984-06-22
tt0086216,Rumble Fish,1983-10-21
tt0083906,Eureka,1984-10-05
tt0083833,Diner,1982-05-21
tt0082089,Body Heat,1981-08-28
tt0080855,Heaven's Gate,1981-04-24
tt0078723,1941,1979-12-14
tt2935510,Ad Astra,2019-09-20
tt5085924,Wildling,2018-04-13
tt1990314,Robot & Frank,2012-01-20
tt1535970,The Ledge,2011-01-21
tt1512235,Super,2011-04-01
tt0482606,The Strangers,2008-05-30
tt0867591,Smother,2008-09-26
tt0490204,Reign Over Me,2007-03-23
tt0385056,Lonesome Jim,2005-01-22
tt0300051,Jersey Girl,2004-03-26
tt0167260,The Lord of the Rings: The Return of the King,2003-12-17
tt0167261,The Lord of the Rings: The Two Towers,2002-12-18
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001-12-19
tt0203755,One Night at McCool's,2001-04-27
tt0205271,Dr. T & the Women,2000-10-13
tt0119079,Onegin,1999-12-17
tt0134033,Plunkett & Macleane,1999-10-01
tt0126250,Cookie's Fortune,1999-04-16
tt0120591,Armageddon,1998-07-01
tt0120399,U Turn,1997-10-03
tt0119381,Inventing the Abbotts,1997-04-04
tt0117887,That Thing You Do!,1996-10-04
tt0117737,Stealing Beauty,1996-06-14
tt0112950,Empire Records,1995-10-20
tt0113280,Heavy,1996-06-05
tt0111187,Silent Fall,1994-10-28
tt4701724,Early Man,2018-02-16
tt2554274,Crimson Peak,2015-10-16
tt0462335,High-Rise,2016-04-28
tt1490785,I Saw the Light,2016-04-01
tt2281587,Muppets Most Wanted,2014-03-21
tt3313066,Coriolanus,2014-01-30
tt2436452,Exhibition,2013-10-08
tt1714915,Only Lovers Left Alive,2013-10-10
tt1700844,The Deep Blue Sea,2011-10-21
tt1605783,Midnight in Paris,2011-06-10
tt1527835,Archipelago,2014-06-27
tt1107850,Unrelated,2008-02-20
tt4136456,The Virtuoso,2021-04-30
tt10272386,The Father,2021-02-26
tt8404614,The Two Popes,2019-12-20
tt2126235,Collide,2017-02-24
tt3658772,Misconduct,2016-02-05
tt4061010,Blackway,2016-06-10
tt1291570,Solace,2016-12-16
tt2917388,Kidnapping Mr. Heineken,2015-03-06
tt1959490,Noah,2014-03-28
tt1821694,RED 2,2013-07-19
tt1680045,360,2012-06-29
tt1161864,The Rite,2011-01-28
tt1182350,You Will Meet a Tall Dark Stranger,2010-10-22
tt0780653,The Wolfman,2010-02-12
tt0896923,The City of Your Final Destination,2009-03-21
tt0442933,Beowulf,2007-11-16
tt0499570,Slipstream,2007-05-29
tt0488120,Fracture,2007-04-20
tt0405676,All the King's Men,2006-09-22
tt0308055,Bobby,2006-11-23
tt0412080,The World's Fastest Indian,2006-03-24
tt0346491,Alexander,2004-11-24
tt0263265,Shortcut to Happiness,2004-04-23
tt0308383,The Human Stain,2003-10
tt0280486,Bad Company,2002-06-07
tt0252501,Hearts in Atlantis,2001-09-28
tt0212985,Hannibal,2001-02-09
tt0170016,How the Grinch Stole Christmas,2000-11-17
tt0120755,Mission: Impossible II,2000-05-24
tt0120866,Titus,2000-02-11
tt0128278,Instinct,1999-06-04
tt0119643,Meet Joe Black,1998-11-13
tt0120746,The Mask of Zorro,1998-07-17
tt0118607,Amistad,1997-12-25
tt0119051,The Edge,1997-09-26
tt0117791,Surviving Picasso,1996-09-20
tt0115591,August,1996-04-19
tt0113987,Nixon,1996-01-05
tt0110322,Legends of the Fall,1995-01-13
tt0111001,The Road to Wellville,1994-10-28
tt0108101,Shadowlands,1994-01-14
tt0107943,The Remains of the Day,1993-11-19
tt0106185,The Innocent,1995-09-01
tt0108388,The Trial,1994-04
tt0103874,Bram Stoker's Dracula,1992-11-13
tt0104454,Howards End,1993-02-26
tt0104299,Freejack,1992-01-17
tt0102969,The Efficiency Expert,1992-11-06
tt0102926,The Silence of the Lambs,1991-02-14
tt0094871,A Chorus of Disapproval,1989-05
tt0090570,84 Charing Cross Road,1987-02-13
tt0093103,The Good Father,1987-02-11
tt0086993,The Bounty,1984-05-04
tt0080678,The Elephant Man,1980-10-10
tt0077743,International Velvet,1978-07-19
tt0075784,A Bridge Too Far,1977-06-15
tt0069987,A Doll's House,1973-05-22
tt0063227,The Lion in Winter,1968-10-30
tt4682804,Lucy in the Sky,2019-10-04
tt4042818,The Death & Life of John F. Donovan,2019-12-13
tt5960374,Vox Lux,2018-10-12
tt2798920,Annihilation,2018-02-23
tt2062700,Song to Song,2017-03-17
tt4680196,Planetarium,2017-08-11
tt1619029,Jackie,2016-12-02
tt2140037,Jane Got a Gun,2016-01-29
tt1135989,A Tale of Love and Darkness,2016-08-19
tt2101383,Knight of Cups,2016-03-04
tt1240982,Your Highness,2011-04-08
tt1411238,No Strings Attached,2011-01-21
tt1356864,I'm Still Here,2010-09-10
tt0947798,Black Swan,2010-12-17
tt1403177,Hesher,2010-01-22
tt0765010,Brothers,2009-12-04
tt1032825,The Other Woman,2011-01-01
tt0808399,"New York, I Love You",2009-10-16
tt0457419,Mr. Magorium's Wonder Emporium,2007-11-16
tt0838221,The Darjeeling Limited,2007-10-26
tt0765120,My Blueberry Nights,2008-04-04
tt0455957,Goya's Ghosts,2007-06-09
tt0401711,"Paris, je t'aime",2007-06-15
tt0434409,V for Vendetta,2006-03-17
tt0441761,Free Zone,2006-04-07
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005-05-19
tt0376541,Closer,2004-12-03
tt0333766,Garden State,2004-08-20
tt0159365,Cold Mountain,2003-12-25
tt0121765,Star Wars: Episode II - Attack of the Clones,2002-05-16
tt0196229,Zoolander,2001-09-28
tt0198021,Where the Heart Is,2000-04-28
tt0149691,Anywhere But Here,1999-11-12
tt0120915,Star Wars: Episode I - The Phantom Menace,1999-05-19
tt0116996,Mars Attacks!,1996-12-13
tt0115639,Beautiful Girls,1996-02-09
tt0113277,Heat,1995-12-15
tt0110413,Léon: The Professional,1994-11-18
tt10295314,Expired,2022-03-17
tt10644372,Lone Wolf,2021-09-24
tt8689644,Hearts and Bones,2019-10-11
tt1571234,Mortal Engines,2018-12-14
tt3208026,Black '47,2018-09-28
tt5091014,Jasper Jones,2019-02-21
tt2119532,Hacksaw Ridge,2016-11-04
tt2910904,The Dressmaker,2015-10-16
tt2325977,Strangerland,2015-07-10
tt2310792,Healing,2015-05
tt2322641,The Turning,2014-05-25
tt2236054,Mystery Road,2013-10-11
tt1371111,Cloud Atlas,2012-10-26
tt1402488,Happy Feet Two,2011-11-18
tt1399103,Transformers: Dark of the Moon,2011-06-29
tt1438216,Oranges and Sunshine,2011-10-15
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010-09-24
tt1055369,Transformers: Revenge of the Fallen,2009-06-24
tt1235142,Last Ride,2010-01-09
tt0452692,The Tender Hook,2010-06-11
tt0418279,Transformers,2007-07-03
tt0366548,Happy Feet,2006-11-17
tt0382810,Little Fish,2006-02-24
tt0347755,Peaches,2004-10-17
tt0242653,The Matrix Revolutions,2003-11-05
tt0234215,The Matrix Reloaded,2003-05-15
tt0215139,Russian Doll,2001-04-06
tt0163080,The Magic Pudding,2002-07-10
tt0133093,The Matrix,1999-03-31
tt0120595,Babe: Pig in the City,1998-11-25
tt0126810,Bedrooms and Hallways,1999-05-28
tt0112431,Babe,1995-08-04
tt0102721,Proof,1992-03-20
tt6079772,The Protégé,2021-08-20
tt8385148,Hitman's Wife's Bodyguard,2021-06-16
tt10342730,Spiral,2021-05-14
tt6285944,The Banker,2020-03-20
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019-12-20
