area,areaName,movie_id,title,year,budget,budget_curr,total_amount,total_currency
XWW,World-wide,tt1645170,The Dictator,2012,65000000,USD,179379533,USD
XNDOM,International,tt1645170,The Dictator,2012,65000000,USD,119729311,USD
XR2,Russia and Commonwealth of Independent States,tt1645170,The Dictator,2012,65000000,USD,5940266,USD
XKN,East Africa,tt1645170,The Dictator,2012,65000000,USD,9911,USD
XWW,World-wide,tt1423995,Stone,2010,22000000,USD,10300416,USD
XNDOM,International,tt1423995,Stone,2010,22000000,USD,8490338,USD
XR2,Russia and Commonwealth of Independent States,tt1423995,Stone,2010,22000000,USD,1932313,USD
XWW,World-wide,tt1151359,Leaves of Grass,2009,9000000,USD,1034214,USD
XNDOM,International,tt1151359,Leaves of Grass,2009,9000000,USD,964148,USD
XWW,World-wide,tt1058017,The Invention of Lying,2009,18500000,USD,32406507,USD
XNDOM,International,tt1058017,The Invention of Lying,2009,18500000,USD,13955256,USD
XWW,World-wide,tt0482572,Pride and Glory,2008,30000000,USD,31200557,USD
XNDOM,International,tt0482572,Pride and Glory,2008,30000000,USD,15459836,USD
XGC,Greece and Cyprus,tt0482572,Pride and Glory,2008,30000000,USD,456640,USD
XC4,Central America,tt0482572,Pride and Glory,2008,30000000,USD,137511,USD
XWW,World-wide,tt0446755,The Painted Veil,2006,19400000,USD,26910847,USD
XNDOM,International,tt0446755,The Painted Veil,2006,19400000,USD,18850360,USD
XR2,Russia and Commonwealth of Independent States,tt0446755,The Painted Veil,2006,19400000,USD,521400,USD
XWW,World-wide,tt0443543,The Illusionist,2006,16500000,USD,87892388,USD
XNDOM,International,tt0443543,The Illusionist,2006,16500000,USD,48023746,USD
XR2,Russia and Commonwealth of Independent States,tt0443543,The Illusionist,2006,16500000,USD,739349,USD
XWW,World-wide,tt0398027,Down in the Valley,2005,8000000,USD,855009,USD
XNDOM,International,tt0398027,Down in the Valley,2005,8000000,USD,286077,USD
XWW,World-wide,tt0320661,Kingdom of Heaven,2005,130000000,USD,218122627,USD
