actor_name,category,title,year,release_date,type,MCU,budget_USD,budget_scaled,World_Wide,International,Domestic,award_mcu,award_name,award_category,event_name,winner,color_id
Chris Pratt,actor,Bride Wars,2009,2009-01-09,Movie,Non-MCU,30000000,3.4211142255025395,115375850,56660340,58715510,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Wanted,2008,2008-06-27,Movie,Non-MCU,75000000,4.053169010325808,342463063,207954512,134508551,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Wieners,2008,2008-06-03,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Walk the Talk,2007,2007-06-15,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Strangers with Candy,2006,2006-07-21,Movie,Non-MCU,3500000,3.0489041855510592,2254124,181479,2072645,Non-MCU,NA,NA,NA,NA,#C4D6FA
Paul Rudd,actor,Ghostbusters: Afterlife,2021,2021-11-19,Movie,Non-MCU,75000000,4.053169010325808,197360575,68000000,129360575,Non-MCU,NA,NA,NA,NA,#C4D6FA
Paul Rudd,actor,Between Two Ferns: The Movie,2019,2019-09-20,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Paul Rudd,actor,Avengers: Endgame,2019,2019-04-26,Movie,MCU,356000000,8,2797501328,1939128328,858373000,MCU,NA,NA,NA,NA,#233f92
Paul Rudd,actor,Ant-Man and the Wasp,2018,2018-07-06,Movie,MCU,162000000,5.275141594317462,622674139,406025399,216648740,MCU,NA,NA,NA,NA,#233f92
Paul Rudd,actor,Mute,2018,2018-02-23,Movie,Non-MCU,NA,3,NA,NA,NA,Non-MCU,NA,NA,NA,NA,#C4D6FA
Paul Rudd,actor,Ideal Home,2018,2018-06-07,Movie,Non-MCU,10000000,3.140200987803309,147784,147784,0,Non-MCU,NA,NA,NA,NA,#C4D6FA
Paul Rudd,actor,The Catcher Was a Spy,2018,2018-06-22,Movie,Non-MCU,14000000,3.196383635343155,953953,228730,725223,Non-MCU,NA,NA,NA,NA,#C4D6FA
Paul Rudd,actor,Fun Mom Dinner,2017,2017-08-04,Movie,Non-MCU,NA,3,332886,332886,0,Non-MCU,NA,NA,NA,NA,#C4D6FA
