actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0817819,NA,A Bug and a Bag of Weed,actor,tt0466365,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Shock to the System,actor,tt0780606,2006,movie,0,NULL,3768,NA,NA,USD
nm0817819,NA,Supernatural,actor,tt0460681,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,G-Spot,actor,tt0456778,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Killer Instinct,actor,tt0460643,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Category 7: The End of the World,actor,tt0468988,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Paper Moon Affair,actor,tt0433615,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Young Blades,actor,tt0439410,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,The Collector,actor,tt0380869,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Bliss,actor,tt0302076,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Stargate SG-1,actor,tt0118480,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Andromeda,actor,tt0213327,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Mutant X,actor,tt0283203,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Dawson's Creek,actor,tt0118300,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Glory Days,actor,tt0281445,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Strange Frequency,actor,tt0289828,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Special Unit 2,actor,tt0268094,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Dark Angel,actor,tt0204993,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,First Wave,actor,tt0160277,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Little Boy Blues,actor,tt0188859,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Fast Track,actor,tt0124239,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Firestorm,actor,tt0120670,1998,movie,19000000,USD,8165212,NA,NA,USD
nm0817819,NA,"Drive, She Said",actor,tt0119021,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Dead Man's Gun,actor,tt0140735,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Poltergeist: The Legacy,actor,tt0115317,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,The X-Files,actor,tt0106179,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,The Outer Limits,actor,tt0112111,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Madison,actor,tt0108845,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Robin's Hoods,actor,tt0108908,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Anchor Zone,actor,tt0109114,NA,movie,NA,NA,NA,NA,NA,NA
nm0647634,Elizabeth Olsen,WandaVision,actress,tt9140560,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0647634,Elizabeth Olsen,Sorry for Your Loss,actress,tt8000638,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0647634,Elizabeth Olsen,Avengers: Endgame,actress,tt4154796,2019,movie,356000000,USD,2797501328,1939128328,858373000,USD
nm0647634,Elizabeth Olsen,Avengers: Infinity War,actress,tt4154756,2018,movie,321000000,USD,2048359754,1369544272,678815482,USD
nm0647634,Elizabeth Olsen,HarmonQuest,actress,tt5905038,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0647634,Elizabeth Olsen,Kodachrome,actress,tt1880399,2017,movie,0,NULL,70149,70149,0,USD
nm0647634,Elizabeth Olsen,Wind River,actress,tt5362988,2017,movie,11000000,USD,44202682,10401823,33800859,USD
nm0647634,Elizabeth Olsen,Ingrid Goes West,actress,tt5962210,2017,movie,0,NULL,3146831,122523,3024308,USD
nm0647634,Elizabeth Olsen,Drunk History,actress,tt2712612,NA,tvSeries,NA,NA,NA,NA,NA,NA
