actor_id,actor_name,film_list,type,category,title_ids
nm0636280,NA,Equalizer 2000,movie,actor,tt0091012
nm0636280,NA,Fight to Win,movie,actor,tt0165776
nm0636280,NA,Magic Crystal,movie,actor,tt0091532
nm0636280,NA,Millionaires' Express,movie,actor,tt0091091
nm0636280,NA,American Warrior,movie,actor,tt0088708
nm0636280,NA,Twinkle Twinkle Lucky Stars,movie,actor,tt0090342
nm0636280,NA,Gymkata,movie,actor,tt0089243
nm0636280,NA,Forced Vengeance,movie,actor,tt0083960
nm0636280,NA,Force: Five,movie,actor,tt0082399
nm0636280,NA,The Octagon,movie,actor,tt0081259
nm1165110,Chris Hemsworth,What If...?,tvSeries,actor,tt10168312
nm1165110,Chris Hemsworth,Loki,tvSeries,actor,tt9140554
nm1165110,Chris Hemsworth,Extraction,movie,actor,tt8936646
nm1165110,Chris Hemsworth,Jay and Silent Bob Reboot,movie,actor,tt6521876
nm1165110,Chris Hemsworth,Men in Black: International,movie,actor,tt2283336
nm1165110,Chris Hemsworth,Avengers: Endgame,movie,actor,tt4154796
nm1165110,Chris Hemsworth,Bad Times at the El Royale,movie,actor,tt6628394
nm1165110,Chris Hemsworth,Avengers: Infinity War,movie,actor,tt4154756
nm1165110,Chris Hemsworth,12 Strong,movie,actor,tt1413492
nm1165110,Chris Hemsworth,Thor: Ragnarok,movie,actor,tt3501632
nm1165110,Chris Hemsworth,Doctor Strange,movie,actor,tt1211837
nm1165110,Chris Hemsworth,Ghostbusters,movie,actor,tt1289401
nm1165110,Chris Hemsworth,The Huntsman: Winter's War,movie,actor,tt2381991
nm1165110,Chris Hemsworth,In the Heart of the Sea,movie,actor,tt1390411
nm1165110,Chris Hemsworth,Vacation,movie,actor,tt1524930
nm1165110,Chris Hemsworth,Avengers: Age of Ultron,movie,actor,tt2395427
nm1165110,Chris Hemsworth,Blackhat,movie,actor,tt2717822
nm1165110,Chris Hemsworth,Thor: The Dark World,movie,actor,tt1981115
nm1165110,Chris Hemsworth,Rush,movie,actor,tt1979320
nm1165110,Chris Hemsworth,Red Dawn,movie,actor,tt1234719
nm1165110,Chris Hemsworth,Snow White and the Huntsman,movie,actor,tt1735898
nm1165110,Chris Hemsworth,The Avengers,movie,actor,tt0848228
nm1165110,Chris Hemsworth,The Cabin in the Woods,movie,actor,tt1259521
nm1165110,Chris Hemsworth,Thor,movie,actor,tt0800369
nm1165110,Chris Hemsworth,Ca$h,movie,actor,tt1106860
nm1165110,Chris Hemsworth,A Perfect Getaway,movie,actor,tt0971209
nm1165110,Chris Hemsworth,Star Trek,movie,actor,tt0796366
nm1165110,Chris Hemsworth,Home and Away,tvSeries,actor,tt0094481
nm1165110,Chris Hemsworth,Fergus McPhail,tvSeries,actor,tt0380893
nm1165110,Chris Hemsworth,The Saddle Club,tvSeries,actor,tt0278876
nm1165110,Chris Hemsworth,Neighbours,tvSeries,actor,tt0088580
nm1165110,Chris Hemsworth,Guinevere Jones,tvSeries,actor,tt0316985
nm7062889,NA,Holy Hell,movie,actor,tt3835612
nm0262635,Chris Evans,Don't Look Up,movie,actor,tt11286314
nm0262635,Chris Evans,Free Guy,movie,actor,tt6264654
nm0262635,Chris Evans,Knives Out,movie,actor,tt8946378
nm0262635,Chris Evans,The Red Sea Diving Resort,movie,actor,tt4995776
nm0262635,Chris Evans,Avengers: Endgame,movie,actor,tt4154796
nm0262635,Chris Evans,Captain Marvel,movie,actor,tt4154664
nm0262635,Chris Evans,Avengers: Infinity War,movie,actor,tt4154756
nm0262635,Chris Evans,Spider-Man: Homecoming,movie,actor,tt2250912
nm0262635,Chris Evans,Gifted,movie,actor,tt4481414
nm0262635,Chris Evans,Captain America: Civil War,movie,actor,tt3498820
nm0262635,Chris Evans,Ant-Man,movie,actor,tt0478970
nm0262635,Chris Evans,Avengers: Age of Ultron,movie,actor,tt2395427
nm0262635,Chris Evans,Playing It Cool,movie,actor,tt2139555
nm0262635,Chris Evans,Before We Go,movie,actor,tt0443465
nm0262635,Chris Evans,Captain America: The Winter Soldier,movie,actor,tt1843866
nm0262635,Chris Evans,Thor: The Dark World,movie,actor,tt1981115
nm0262635,Chris Evans,Snowpiercer,movie,actor,tt1706620
nm0262635,Chris Evans,The Iceman,movie,actor,tt1491044
nm0262635,Chris Evans,The Avengers,movie,actor,tt0848228
nm0262635,Chris Evans,What's Your Number?,movie,actor,tt0770703
nm0262635,Chris Evans,Captain America: The First Avenger,movie,actor,tt0458339
nm0262635,Chris Evans,Puncture,movie,actor,tt1582248
nm0262635,Chris Evans,Scott Pilgrim vs. the World,movie,actor,tt0446029
nm0262635,Chris Evans,The Losers,movie,actor,tt0480255
nm0262635,Chris Evans,Push,movie,actor,tt0465580
nm0262635,Chris Evans,Robot Chicken,tvSeries,actor,tt0437745
nm0262635,Chris Evans,The Loss of a Teardrop Diamond,movie,actor,tt0896031
nm0262635,Chris Evans,Street Kings,movie,actor,tt0421073
nm0262635,Chris Evans,Battle for Terra,movie,actor,tt0858486
nm0262635,Chris Evans,The Nanny Diaries,movie,actor,tt0489237
nm0262635,Chris Evans,Fantastic 4: Rise of the Silver Surfer,movie,actor,tt0486576
nm0262635,Chris Evans,Sunshine,movie,actor,tt0448134
nm0262635,Chris Evans,TMNT,movie,actor,tt0453556
nm0262635,Chris Evans,London,movie,actor,tt0449061
nm0262635,Chris Evans,Fantastic Four,movie,actor,tt0120667
nm0262635,Chris Evans,Fierce People,movie,actor,tt0401420
nm0262635,Chris Evans,Cellular,movie,actor,tt0337921
nm0262635,Chris Evans,The Perfect Score,movie,actor,tt0314498
nm0262635,Chris Evans,Not Another Teen Movie,movie,actor,tt0277371
nm0262635,Chris Evans,Boston Public,tvSeries,actor,tt0247081
nm0262635,Chris Evans,The Fugitive,tvSeries,actor,tt0247097
nm0262635,Chris Evans,The Newcomers,movie,actor,tt0221431
nm0262635,Chris Evans,Opposite Sex,tvSeries,actor,tt0202513
nm8177475,NA,La Flamme Rouge,movie,actor,tt10298870
nm8177475,NA,Fearless Faith,movie,actor,tt8292804
nm0695435,Chris Pratt,The Tomorrow War,movie,actor,tt9777666
nm0695435,Chris Pratt,Onward,movie,actor,tt7146812
nm0695435,Chris Pratt,Avengers: Endgame,movie,actor,tt4154796
nm0695435,Chris Pratt,The Kid,movie,actor,tt4975920
nm0695435,Chris Pratt,The Lego Movie 2: The Second Part,movie,actor,tt3513498
nm0695435,Chris Pratt,Jurassic World: Fallen Kingdom,movie,actor,tt4881806
nm0695435,Chris Pratt,Avengers: Infinity War,movie,actor,tt4154756
nm0695435,Chris Pratt,Guardians of the Galaxy Vol. 2,movie,actor,tt3896198
nm0695435,Chris Pratt,Mom,tvSeries,actor,tt2660806
nm0695435,Chris Pratt,Passengers,movie,actor,tt1355644
nm0695435,Chris Pratt,The Magnificent Seven,movie,actor,tt2404435
nm0695435,Chris Pratt,Jem and the Holograms,movie,actor,tt3614530
nm0695435,Chris Pratt,Saturday Night Live: Cut for Time,tvSeries,actor,tt9881938
nm0695435,Chris Pratt,Jurassic World,movie,actor,tt0369610
nm0695435,Chris Pratt,Parks and Recreation,tvSeries,actor,tt1266020
nm0695435,Chris Pratt,Guardians of the Galaxy,movie,actor,tt2015381
nm0695435,Chris Pratt,The Lego Movie,movie,actor,tt1490017
nm0695435,Chris Pratt,Delivery Man,movie,actor,tt2387559
nm0695435,Chris Pratt,Her,movie,actor,tt1798709
nm0695435,Chris Pratt,Movie 43,movie,actor,tt1333125
nm0695435,Chris Pratt,Zero Dark Thirty,movie,actor,tt1790885
nm0695435,Chris Pratt,The Five-Year Engagement,movie,actor,tt1195478
nm0695435,Chris Pratt,Parks and Recreation: Road Trip,tvSeries,actor,tt2138881
nm0695435,Chris Pratt,What's Your Number?,movie,actor,tt0770703
nm0695435,Chris Pratt,10 Years,movie,actor,tt1715873
nm0695435,Chris Pratt,Moneyball,movie,actor,tt1210166
nm0695435,Chris Pratt,Ben 10: Ultimate Alien,tvSeries,actor,tt1622696
nm0695435,Chris Pratt,Take Me Home Tonight,movie,actor,tt0810922
nm0695435,Chris Pratt,Jennifer's Body,movie,actor,tt1131734
nm0695435,Chris Pratt,Deep in the Valley,movie,actor,tt1078885
nm0695435,Chris Pratt,Bride Wars,movie,actor,tt0901476
nm0695435,Chris Pratt,Wanted,movie,actor,tt0493464
nm0695435,Chris Pratt,Wieners,movie,actor,tt0800268
nm0695435,Chris Pratt,The Batman,tvSeries,actor,tt0398417
nm0695435,Chris Pratt,Walk the Talk,movie,actor,tt0462601
nm0695435,Chris Pratt,The O.C.,tvSeries,actor,tt0362359
nm0695435,Chris Pratt,Everwood,tvSeries,actor,tt0318883
nm0695435,Chris Pratt,Strangers with Candy,movie,actor,tt0369994
nm0695435,Chris Pratt,The Extreme Team,movie,actor,tt0295249
nm0695435,Chris Pratt,The Huntress,tvSeries,actor,tt0250157
nm9985479,Chris Pratt,Christopher Robin,movie,actor,tt4575576
nm2212645,Chris Pratt,Motorcycle,movie,actor,tt0495158
nm0748620,Paul Rudd,Toast of Tinseltown,tvSeries,actor,tt14155746
nm0748620,Paul Rudd,The Shrink Next Door,tvSeries,actor,tt11947248
nm0748620,Paul Rudd,Saturday Morning All Star Hits!,tvSeries,actor,tt15977708
nm0748620,Paul Rudd,Ghostbusters: Afterlife,movie,actor,tt4513678
nm0748620,Paul Rudd,What If...?,tvSeries,actor,tt10168312
nm0748620,Paul Rudd,The Simpsons,tvSeries,actor,tt0096697
nm0748620,Paul Rudd,At Home with Amy Sedaris,tvSeries,actor,tt7552590
nm0748620,Paul Rudd,Saturday Night Live,tvSeries,actor,tt0072562
nm0748620,Paul Rudd,Conan,tvSeries,actor,tt1637574
nm0748620,Paul Rudd,Living with Yourself,tvSeries,actor,tt8880894
nm0748620,Paul Rudd,Between Two Ferns: The Movie,movie,actor,tt9398640
nm0748620,Paul Rudd,Saturday Night Live: Cut for Time,tvSeries,actor,tt9881938
nm0748620,Paul Rudd,Avengers: Endgame,movie,actor,tt4154796
nm0748620,Paul Rudd,Ant-Man and the Wasp,movie,actor,tt5095030
nm0748620,Paul Rudd,iZombie,tvSeries,actor,tt3501584
nm0748620,Paul Rudd,Mute,movie,actor,tt1464763
nm0748620,Paul Rudd,Ideal Home,movie,actor,tt5460880
nm0748620,Paul Rudd,The Catcher Was a Spy,movie,actor,tt4602066
nm0748620,Paul Rudd,Fun Mom Dinner,movie,actor,tt5829040
nm0748620,Paul Rudd,Nightcap,tvSeries,actor,tt5507340
nm0748620,Paul Rudd,Bob's Burgers,tvSeries,actor,tt1561755
nm0748620,Paul Rudd,Nerdland,movie,actor,tt5574372
nm0748620,Paul Rudd,Captain America: Civil War,movie,actor,tt3498820
nm0748620,Paul Rudd,Sausage Party,movie,actor,tt1700841
nm0748620,Paul Rudd,The Fundamentals of Caring,movie,actor,tt2452386
nm0748620,Paul Rudd,"Neon Joe, Werewolf Hunter",tvSeries,actor,tt5176266
nm0748620,Paul Rudd,WHIH News Front,tvSeries,actor,tt5296048
nm0748620,Paul Rudd,Ant-Man,movie,actor,tt0478970
nm0748620,Paul Rudd,The Little Prince,movie,actor,tt1754656
nm0748620,Paul Rudd,Moone Boy,tvSeries,actor,tt2319283
nm0748620,Paul Rudd,Parks and Recreation,tvSeries,actor,tt1266020
nm0748620,Paul Rudd,TripTank,tvSeries,actor,tt2380303
nm0748620,Paul Rudd,They Came Together,movie,actor,tt2398249
nm0748620,Paul Rudd,The Greatest Event in Television History,tvSeries,actor,tt2496468
nm0748620,Paul Rudd,Above Average Presents,tvSeries,actor,tt5877444
nm0748620,Paul Rudd,Children's Hospital: Inside Pediatrics,tvSeries,actor,tt15302174
nm0748620,Paul Rudd,Hudson Valley Ballers,tvSeries,actor,tt3466546
nm0748620,Paul Rudd,Anchorman 2: The Legend Continues,movie,actor,tt1229340
nm0748620,Paul Rudd,This Is the End,movie,actor,tt1245492
nm0748620,Paul Rudd,All Is Bright,movie,actor,tt1462901
nm0748620,Paul Rudd,Burning Love,tvSeries,actor,tt2292621
nm0748620,Paul Rudd,Admission,movie,actor,tt1814621
nm0748620,Paul Rudd,Prince Avalanche,movie,actor,tt2195548
nm0748620,Paul Rudd,This Is 40,movie,actor,tt1758830
nm0748620,Paul Rudd,Louie,tvSeries,actor,tt1492966
nm0748620,Paul Rudd,The Perks of Being a Wallflower,movie,actor,tt1659337
nm0748620,Paul Rudd,Wanderlust,movie,actor,tt1655460
nm0748620,Paul Rudd,Our Idiot Brother,movie,actor,tt1637706
nm0748620,Paul Rudd,How Do You Know,movie,actor,tt1341188
nm0748620,Paul Rudd,Dinner for Schmucks,movie,actor,tt0427152
nm0748620,Paul Rudd,"Tim and Eric Awesome Show, Great Job!",tvSeries,actor,tt0912343
nm0748620,Paul Rudd,Year One,movie,actor,tt1045778
nm0748620,Paul Rudd,"I Love You, Man",movie,actor,tt1155056
nm0748620,Paul Rudd,Monsters vs. Aliens,movie,actor,tt0892782
nm0748620,Paul Rudd,Delocated,tvSeries,actor,tt1299729
nm0748620,Paul Rudd,Wainy Days,tvSeries,actor,tt1137992
nm0748620,Paul Rudd,Role Models,movie,actor,tt0430922
nm0748620,Paul Rudd,Little Britain USA,tvSeries,actor,tt0936458
nm0748620,Paul Rudd,Forgetting Sarah Marshall,movie,actor,tt0800039
nm0748620,Paul Rudd,Over Her Dead Body,movie,actor,tt0785007
nm0748620,Paul Rudd,The Naked Trucker and T-Bones Show,tvSeries,actor,tt0804423
nm0748620,Paul Rudd,Walk Hard: The Dewey Cox Story,movie,actor,tt0841046
nm0748620,Paul Rudd,I Could Never Be Your Woman,movie,actor,tt0466839
nm0748620,Paul Rudd,Veronica Mars,tvSeries,actor,tt0412253
nm0748620,Paul Rudd,Reno 911!,tvSeries,actor,tt0370194
nm0748620,Paul Rudd,Knocked Up,movie,actor,tt0478311
nm0748620,Paul Rudd,Reno 911! Miami,movie,actor,tt0499554
nm0748620,Paul Rudd,The Ten,movie,actor,tt0811106
nm0748620,Paul Rudd,Night at the Museum,movie,actor,tt0477347
nm0748620,Paul Rudd,The Ex,movie,actor,tt0458364
nm0748620,Paul Rudd,Robot Chicken,tvSeries,actor,tt0437745
nm0748620,Paul Rudd,Diggers,movie,actor,tt0469897
nm0748620,Paul Rudd,Cheap Seats: Without Ron Parker,tvSeries,actor,tt0397769
nm0748620,Paul Rudd,The Oh in Ohio,movie,actor,tt0422861
nm0748620,Paul Rudd,The 40-Year-Old Virgin,movie,actor,tt0405422
