actor_id,actor_name,category,title_id,title,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0636268,NA,actor,tt0026646,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026524,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026431,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026093,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026185,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026920,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026403,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0027214,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026691,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0026462,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0144227,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0025579,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0025492,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0024910,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0025035,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636201,Edward Norton,actor,tt0012695,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt8874764,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt6848322,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt3150574,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt1392190,Mad Max: Fury Road,2015,movie,150000000,USD,375709470,221600410,154109060,USD
nm0636280,NA,actor,tt1442449,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt1320085,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt1245679,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0322651,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0300500,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt7868778,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0214032,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0275913,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0106168,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0165400,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0115289,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0118732,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0115417,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0117786,Mr. Nice Guy,1997,movie,0,NULL,18814720,6097767,12716953,USD
nm0636280,NA,actor,tt0120224,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0144930,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0114783,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0109515,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0103460,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0109581,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0107917,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0103950,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0104530,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0105212,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0105213,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0104667,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0098422,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0099260,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0094764,The Blood of Heroes,1989,movie,10000000,AUD,882290,NA,NA,USD
nm0636280,NA,actor,tt0093022,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0249591,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0094920,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0131979,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0097404,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0093549,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0091012,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0165776,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0091532,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0091091,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0088708,American Warrior,1985,movie,1000000,USD,10499694,NA,NA,USD
nm0636280,NA,actor,tt0090342,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0089243,Gymkata,1985,movie,0,NULL,5730596,NA,NA,USD
nm0636280,NA,actor,tt0083960,Forced Vengeance,1982,movie,5000000,USD,6660333,NA,NA,USD
nm0636280,NA,actor,tt0082399,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636280,NA,actor,tt0081259,The Octagon,1980,movie,4000000,USD,18971000,NA,NA,USD
nm1165110,Chris Hemsworth,actor,tt10168312,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt9140554,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
