actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm2949192,NA,French and Saunders,actor,tt0092355,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm2949192,NA,Gems,actor,tt0290962,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,The French Dispatch,actor,tt8847712,2021,movie,25000000,USD,46333545,30209170,16124375,USD
nm0001570,Edward Norton,Motherless Brooklyn,actor,tt0385887,2019,movie,26000000,USD,18477736,9200000,9277736,USD
nm0001570,Edward Norton,Alita: Battle Angel,actor,tt0437086,2019,movie,170000000,USD,404980543,319142333,85838210,USD
nm0001570,Edward Norton,Ask the StoryBots,actor,tt5846856,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,Isle of Dogs,actor,tt5104604,2018,movie,0,NULL,64337744,32322513,32015231,USD
nm0001570,Edward Norton,Collateral Beauty,actor,tt4682786,2016,movie,36000000,USD,88528280,57512259,31016021,USD
nm0001570,Edward Norton,Sausage Party,actor,tt1700841,2016,movie,19000000,USD,140705322,43019636,97685686,USD
nm0001570,Edward Norton,The Guardian Brothers,actor,tt4788934,2015,movie,0,NULL,11902156,11902156,0,USD
nm0001570,Edward Norton,Last Week Tonight with John Oliver,actor,tt3530232,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,Nature Is Speaking,actor,tt5786876,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance),actor,tt2562232,2014,movie,18000000,USD,103215094,60874496,42340598,USD
nm0001570,Edward Norton,The Grand Budapest Hotel,actor,tt2278388,2014,movie,25000000,USD,173082189,113780865,59301324,USD
nm0001570,Edward Norton,Saturday Night Live,actor,tt0072562,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,The Simpsons,actor,tt0096697,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,The Bourne Legacy,actor,tt1194173,2012,movie,125000000,USD,276144750,162940880,113203870,USD
nm0001570,Edward Norton,Moonrise Kingdom,actor,tt1748122,2012,movie,16000000,USD,68264022,22751556,45512466,USD
nm0001570,Edward Norton,The Dictator,actor,tt1645170,2012,movie,65000000,USD,179379533,119729311,59650222,USD
nm0001570,Edward Norton,Stone,actor,tt1423995,2010,movie,22000000,USD,10300416,8490338,1810078,USD
nm0001570,Edward Norton,Modern Family,actor,tt1442437,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,Leaves of Grass,actor,tt1151359,2009,movie,9000000,USD,1034214,964148,70066,USD
nm0001570,Edward Norton,The Invention of Lying,actor,tt1058017,2009,movie,18500000,USD,32406507,13955256,18451251,USD
nm0001570,Edward Norton,Pride and Glory,actor,tt0482572,2008,movie,30000000,USD,31200557,15459836,15740721,USD
nm0001570,Edward Norton,The Incredible Hulk,actor,tt0800080,2008,movie,150000000,USD,264770996,129964083,134806913,USD
nm0001570,Edward Norton,The Painted Veil,actor,tt0446755,2006,movie,19400000,USD,26910847,18850360,8060487,USD
nm0001570,Edward Norton,The Illusionist,actor,tt0443543,2006,movie,16500000,USD,87892388,48023746,39868642,USD
nm0001570,Edward Norton,Stella,actor,tt0443409,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,Down in the Valley,actor,tt0398027,2005,movie,8000000,USD,855009,286077,568932,USD
nm0001570,Edward Norton,Kingdom of Heaven,actor,tt0320661,2005,movie,130000000,USD,218122627,170724214,47398413,USD
nm0001570,Edward Norton,After the Sunset,actor,tt0367479,2004,movie,60000000,USD,62657868,34326635,28331233,USD
nm0001570,Edward Norton,The Italian Job,actor,tt0317740,2003,movie,60000000,USD,176070171,69941570,106128601,USD
nm0001570,Edward Norton,25th Hour,actor,tt0307901,2002,movie,5000000,USD,23932055,10847460,13084595,USD
nm0001570,Edward Norton,Red Dragon,actor,tt0289765,2002,movie,78000000,USD,209196298,116046400,93149898,USD
nm0001570,Edward Norton,Frida,actor,tt0120679,2002,movie,12000000,USD,56298474,30413474,25885000,USD
nm0001570,Edward Norton,Death to Smoochy,actor,tt0266452,2002,movie,50000000,USD,8382938,18247,8364691,USD
nm0001570,Edward Norton,The Score,actor,tt0227445,2001,movie,68000000,USD,114252154,43144443,71107711,USD
nm0001570,Edward Norton,Keeping the Faith,actor,tt0171433,2000,movie,29000000,USD,59945183,22897303,37047880,USD
nm0001570,Edward Norton,Fight Club,actor,tt0137523,1999,movie,63000000,USD,101209702,64179600,37030102,USD
nm0001570,Edward Norton,Rounders,actor,tt0128442,1998,movie,12000000,USD,22912409,NA,NA,USD
nm0001570,Edward Norton,American History X,actor,tt0120586,1998,movie,20000000,USD,23875127,17155263,6719864,USD
nm0001570,Edward Norton,The People vs. Larry Flynt,actor,tt0117318,1996,movie,36000000,USD,20300385,NA,NA,USD
nm0001570,Edward Norton,Everyone Says I Love You,actor,tt0116242,1996,movie,20000000,USD,9759200,NA,NA,USD
nm0001570,Edward Norton,Primal Fear,actor,tt0117381,1996,movie,30000000,USD,102616183,46500000,56116183,USD
nm0636268,NA,Life with Henry,actor,tt0033834,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,Christmas in July,actor,tt0032338,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,I Promise to Pay,actor,tt0029039,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,Everybody's Old Man,actor,tt0027587,NA,movie,NA,NA,NA,NA,NA,NA
