actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World-wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0000375,Robert Downey Jr.,actor,tt0119327,Hugo Pool,1997,1997-12-12,movie,NA,NA,NA,USD,13330,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0124179,Two Girls and a Guy,1997,NA,movie,USD,1000000,1000000,USD,2057193,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0119832,One Night Stand,1997,1997-11-14,movie,USD,24000000,24000000,USD,2642983,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0116016,Danger Zone,NA,1996-08-02,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0114272,Restoration,1995,1996-02-02,movie,USD,19000000,19000000,USD,4005941,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0113321,Home for the Holidays,1995,1995-11-03,movie,USD,20000000,20000000,USD,17519169,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0114279,Richard III,1995,1995-12-29,movie,GBP,6000000,7800000,USD,2748518,63614,2684904,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0110737,Only You,1994,1994-10-07,movie,NA,NA,NA,USD,20059210,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0110632,Natural Born Killers,1994,1994-08-26,movie,USD,34000000,34000000,USD,50283563,797,50282766,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0109969,Hail Caesar,NA,1994-05-11,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0108122,Short Cuts,1993,NA,movie,NA,NA,NA,USD,6110979,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0107091,Heart and Souls,1993,1993-08-13,movie,USD,25000000,25000000,USD,16589540,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0103939,Chaplin,1992,1993-01-08,movie,USD,31000000,31000000,USD,9493259,NA,NA,0,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1993
nm0000375,Robert Downey Jr.,actor,tt0102951,Soapdish,1991,1991-05-31,movie,USD,25000000,25000000,USD,36489888,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0103100,Too Much Sun,NA,1991-01-25,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0099005,Air America,1990,1990-08-10,movie,USD,35000000,35000000,USD,33461269,2407668,31053601,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0097044,Chances Are,1989,1989-03-10,movie,USD,16000000,16000000,USD,16278590,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0098524,True Believer,1989,1989-02-17,movie,NA,NA,NA,USD,8742750,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0098464,That's Adequate,NA,NA,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0094594,1969,1988,1988-11-18,movie,USD,7000000,7000000,USD,5979011,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0095409,Johnny Be Good,1988,1988-03-25,movie,USD,22000000,22000000,USD,17550399,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0093407,Less Than Zero,1987,1987-11-06,movie,NA,NA,NA,USD,12396383,NA,NA,0,NA,NA,NA,NA,NA
